user_id,hidden_time,time_to_completion,reach_end,raw_session_length,session_length,SP,MP,LP,VLP,NARRATIVE_ELEMENT_CHANGE,PLAY_PAUSE_BUTTON_CLICKED,LINK_CHOICE_CLICKED,SUBTITLES_BUTTON_CLICKED,BACK_BUTTON_CLICKED,SEEK_FORWARD_BUTTON_CLICKED,VIDEO_SCRUBBED,WINDOW_ORIENTATION_CHANGE,VOLUME_CHANGE,FULLSCREEN_BUTTON_CLICKED,SEEK_BACKWARD_BUTTON_CLICKED,NEXT_BUTTON_CLICKED,BROWSER_VISIBILITY_CHANGE,USER_SET_VARIABLE,total_events,FA-Score,AE-Score,PU-Score,RW-Score,UES-Score
04f4264b-6341-45d9-8ffc-47f8e1eb8731,0.0,4405.575,True,5580.735,5580.735,1,1,0,12,79,8,50,0,0,0,4,0,0,2,0,2,0,0,145,1.67,3.0,4.0,4.0,3.17
592abd6a-ef29-4ad9-b93c-2b69bdb81236,0.0,2502.196,True,3524.186,3524.186,1,0,1,4,63,2,26,0,6,0,0,0,0,2,0,0,0,0,99,3.0,3.67,4.0,4.33,3.75
2b1eacd7-776e-4217-9709-4aadea9b453b,41.704,2329.312,True,2551.209,2509.5049999999997,2,2,2,3,55,0,24,0,0,0,0,0,0,3,0,12,22,0,116,2.67,3.67,3.0,3.33,3.17
9d423322-8459-4391-9a64-6bf32778f4f0,28.347,1588.013,True,2122.795,2094.448,1,1,0,6,53,0,32,0,0,0,0,0,0,0,0,10,8,0,103,3.0,3.67,4.67,3.67,3.75
dba7e682-58f6-42ec-bcdd-ab0d8e210d20,5144.699999999999,2943.3600000000015,True,8263.806,3119.1060000000016,12,3,8,13,65,12,27,0,6,2,5,0,0,0,2,30,13,0,162,3.0,3.33,4.67,3.33,3.58
1b33983e-ef50-4711-8749-02cee11fa1df,0.0,1232.697,True,1448.033,1448.033,0,1,1,5,33,0,11,0,0,3,0,2,0,3,0,2,1,0,55,5.0,5.0,4.67,5.0,4.92
1b0d4b43-d771-4a5d-9a1a-5a6dfbe1dcb4,0.0,1051.848,True,1835.998,1835.998,1,0,0,2,43,0,16,0,0,0,0,0,0,3,0,0,0,0,62,3.67,4.67,4.0,4.33,4.17
474c532e-dc2b-4fe2-bc93-c1b74acc92d9,644.927,4560.398,True,6281.864,5636.937,5,0,0,7,77,6,44,0,0,0,0,0,0,0,8,0,4,0,139,3.33,4.33,5.0,5.0,4.42
8d141a36-e461-47bb-904c-3603604f1937,0.0,4711.017,True,5444.221,5444.221,0,1,2,7,70,10,23,0,0,0,0,0,0,0,0,0,0,0,103,1.33,2.0,2.67,1.67,1.92
4c49de36-8c7c-4119-aa6f-e2f4fd97a492,1183.8020000000001,989.124,True,2360.476,1176.674,8,3,10,8,45,0,29,0,2,0,26,0,0,0,0,6,6,0,114,1.0,1.0,3.67,1.0,1.67
216e09f4-2a96-4609-ac7d-b3e80692ef8a,155.45700000000002,1084.741,True,2210.947,2055.4900000000002,15,9,6,8,71,0,50,0,0,0,9,0,0,0,0,58,4,0,192,3.67,3.0,5.0,3.67,3.84
2f98b9c0-2f7c-4b82-a1f5-6762478960de,0.0,1683.868,True,1917.983,1917.983,0,2,0,1,39,2,21,0,0,0,0,4,0,1,0,2,1,0,70,4.67,4.0,4.33,4.0,4.25
375cca22-1498-463a-ba40-1b180f1d2eab,3355.8940000000002,4541.914,True,8066.169,4710.275,0,0,0,4,52,2,28,0,0,1,0,0,0,0,0,2,11,0,96,3.67,5.0,4.67,4.67,4.5
e4bdc59c-df09-4abd-b26e-483f0d0e29d0,0.0,2281.464,True,2507.357,2507.357,3,1,1,4,54,0,27,0,0,2,0,0,0,4,0,6,0,0,93,3.67,4.67,5.0,5.0,4.58
927b63d9-8021-4847-ae6f-4229783657b0,1.723,1550.1970000000001,True,2076.52,2074.797,9,3,3,5,49,0,28,0,0,0,20,0,0,0,0,0,3,0,100,4.0,3.0,2.67,3.0,3.17
1100ba1c-b549-4f11-a369-5eb916e11249,548.7950000000001,2192.4959999999996,True,4022.336,3473.5409999999997,15,6,1,13,55,14,22,0,2,6,1,7,0,0,15,0,6,0,128,5.0,5.0,4.67,5.0,4.92
960db6e9-3a04-4710-accd-1af645d7d98f,2.928,2842.717,True,3037.4,3034.472,1,0,0,3,55,2,22,0,0,0,2,0,0,0,1,0,5,0,87,3.0,4.0,3.33,4.67,3.75
b6662cb5-4458-43b9-8add-2e058335ad30,26.02,930.116,True,1132.25,1106.23,47,17,23,7,64,6,217,0,0,0,51,0,0,2,0,90,2,0,432,1.0,3.0,3.0,3.0,2.5
6b951a55-6572-4028-b7d7-5f0bf1fa0fb4,1.17,3008.99,True,3691.293,3690.123,1,0,0,1,74,0,27,0,0,0,0,2,0,2,0,0,2,0,107,3.33,3.67,3.33,3.67,3.5
bb6d381b-0182-4770-a73a-75a88b9a1d02,0.0,3821.816,True,4536.415,4536.415,0,0,0,5,73,4,41,0,0,0,0,1,0,2,0,0,1,0,122,4.33,4.0,5.0,5.0,4.58
4c41ecb0-0a74-4c7d-b56e-68cb01f988f7,133.998,3105.974,True,3412.359,3278.361,4,1,0,8,59,2,40,0,0,7,0,8,0,1,1,6,3,0,127,3.0,3.67,3.33,4.0,3.5
fab1d94e-5eb7-463d-be4c-e265f6eb2d87,255565.61,2146.7639999999665,True,257975.1,2409.49000000002,0,1,3,6,43,10,4,0,0,0,0,0,0,0,0,0,35,0,92,1.67,1.67,3.0,2.0,2.08
bff8f4a4-d6c5-471f-90f8-468d2626fb9e,0.006,3953.904,True,4369.873,4369.866999999999,0,0,1,1,75,0,47,0,0,0,0,4,0,2,0,0,3,0,131,3.67,3.0,4.33,4.67,3.92
cf37b95d-6616-4893-87a8-c5e471932e39,3811.4300000000007,3331.2589999999996,True,7297.995,3486.564999999999,0,0,0,7,54,6,26,0,0,0,0,0,0,0,0,2,15,0,103,3.0,3.33,5.0,3.67,3.75
be4cae48-1030-4e42-8a82-91b5de267620,0.001,3113.86,True,4376.498,4376.496999999999,12,1,0,3,69,2,38,0,0,7,6,2,0,1,1,0,3,0,129,3.0,4.0,5.0,4.0,4.0
483f0fba-2deb-45c3-9cf1-fd407a31ea97,0.0,4288.947,True,4504.587,4504.587,3,2,1,6,74,8,39,0,2,0,2,0,0,2,0,0,0,0,127,3.67,3.0,3.33,3.33,3.33
57575466-6e5f-4aa3-8769-ccdde3888df8,2.601,539.208,True,732.857,730.256,2,13,5,6,41,0,22,0,0,0,1,0,0,0,0,50,3,0,117,1.67,1.33,2.67,1.33,1.75
32f5154a-840d-4004-ab51-a3f2c6f5f312,5.609,1063.146,True,1931.035,1925.4260000000002,0,0,0,0,48,0,15,0,0,0,0,2,0,0,0,0,2,0,67,4.0,4.67,5.0,5.0,4.67
ed76851b-aa85-4b6c-b1f4-43109bf960ef,5.516,3180.6369999999997,True,4382.067,4376.551,12,3,2,5,68,6,38,0,0,0,12,8,0,2,0,0,5,0,139,3.33,3.67,3.33,2.67,3.25
b3547372-2a77-42a9-b913-224017c861bb,0.0,1987.819,True,2146.94,2146.94,0,0,0,2,48,2,22,0,0,0,0,0,0,0,0,0,0,0,72,2.33,3.0,3.0,3.33,2.92
267ebb00-2461-4df3-82f0-903031dcbfa7,0.0,3575.735,True,4640.17,4640.17,4,0,2,3,76,0,68,0,0,2,0,2,0,11,0,0,0,0,159,3.33,3.0,3.0,3.0,3.08
